,Time,pp,pp_nr5,Accelerator,Brake,Steering,Speed,IN_Lat,IN_Long
1323,1322,0.0040064604,0.00413969234859186,32.8957316218905,-2.19877727751244,-6.13460401691542,69,1835.63157662687,-5781.08230483582
1324,1323,0.00433034175,0.00417999811099597,33.179211839196,-0.744101921339698,-8.35384460753769,69,1835.63897764824,-5781.07399459296
1325,1324,0.003633393,0.00423719548438445,39.5066376616915,0.467060987295025,-7.93521979950249,69,1835.64641128358,-5781.06574232836
1326,1325,0.004964618625,0.00429521452785233,37.8984951356784,-0.961459705834171,-11.8255336824121,69,1835.65389057286,-5781.05752540704
1327,1326,0.00604451371428571,0.00432169266170455,36.6979288855721,-2.39479342719901,-12.8755977960199,70.4776119402985,1835.66140602985,-5781.04924728358
1328,1327,NA,NA,36.6187311658291,-2.03386610326633,-13.3829540351759,69.035175879397,1835.66891707538,-5781.04092910553
1329,1328,NA,NA,37.506011039801,-3.20407370302537,-10.6602104791045,70.4328358208955,1835.67647710448,-5781.03257785075
1330,1329,0.004390995,0.00431352180465679,39.2055401859296,-1.88445438779397,-8.31363420537688,70,1835.68411637186,-5781.02419543719
1331,1330,0.00384076142857143,0.0042894198009963,38.7693825273632,-2.09255745393035,-7.05654757825871,71.363184079602,1835.69183435821,-5781.01575558209
1332,1331,0.003816589375,0.00424978284484388,38.8931611105528,-3.36781090967337,-3.54179630152261,72,1835.69965854271,-5781.00726262312
1333,1332,0.003961973,0.00423401573865289,39.1567528159204,-3.42355379701493,-5.22097074079602,72.726368159204,1835.70753835821,-5780.99865835821
1334,1333,0.004460344875,0.00423698566340991,38.8519175678392,-2.86828221656784,-4.62936952879397,73.1557788944724,1835.71543426131,-5780.98988849246
1335,1334,0.00473978628571429,0.0042486804595291,38.522247641791,-3.18037266070149,-6.52253111044776,73,1835.72333310448,-5780.98096540299
1336,1335,0.00406119783333333,0.00425547302255711,39.5971227939699,-1.74266024380854,-7.98897805817337,74.7688442211055,1835.73128363819,-5780.97193079397
1337,1336,0.00452175328571429,0.00425513874896731,40.4400463034826,-2.36789031376866,-7.29242774626866,76.044776119403,1835.73934292537,-5780.96283355224
1338,1337,0.00391486983333333,0.00424745693453063,39.8866932613065,-3.58233754623116,-8.84328364371859,76,1835.74755274372,-5780.95366971859
1339,1338,0.00422451714285714,0.00423319266180186,36.688113920398,-2.19538496261194,-8.12553919004975,76.4875621890547,1835.75588322388,-5780.94448122388
1340,1339,0.004110595375,0.00421389019064321,33.2913117085427,2.50443268640704,-3.40614379728643,78,1835.76423765829,-5780.93527510553
1341,1340,0.00422981671428571,0.00419519766797827,32.8430519004975,2.56734690836816,-3.80240697716418,78,1835.77259579104,-5780.9260381194
1342,1341,0.0047308135,0.00417426602686229,32.3957514221105,1.70570988545226,-4.78576444201005,77.2361809045226,1835.780898,-5780.9167859397
1343,1342,0.00366899,0.00415335276866425,32.3332545970149,-1.57918722232338,-5.90176108652786,76.5522388059701,1835.78912020896,-5780.90758301492
1344,1343,0.0037226195,0.0041465608454087,32.7655552562814,-1.58146969815075,-7.21058840150754,76,1835.7972899397,-5780.89843386935
1345,1344,0.00404167214285714,0.00415910668596465,32.7401065870647,-1.40719600382289,-5.85594146567164,76.0099502487562,1835.805434,-5780.88935337313
1346,1345,0.004626083,0.00418389203747558,32.5724185075377,1.5384744002002,-7.23913972361809,75.713567839196,1835.81356745729,-5780.88032351759
1347,1346,0.00385833914285714,0.00421488671214426,32.4214775074627,0.918789764099503,-8.41136345179105,76.18407960199,1835.82169546269,-5780.87133008955
1348,1347,0.004662392375,0.00424785750564947,32.5901386532663,0.623685690475879,-10.0101311346734,75,1835.82978307538,-5780.86236428141
1349,1348,0.00440544214285714,0.00427035270553461,32.8208872238806,0.0576628785323383,-10.4755667467662,75,1835.83785838806,-5780.8534518806
1350,1349,0.00424613325,0.00427254106209422,32.695643040201,-1.76001102494824,-8.71026124874372,75,1835.84591369849,-5780.84456822111
1351,1350,0.00426584271428571,0.00425812082405105,32.6245465422886,-2.32171895781095,-6.63987199552239,75,1835.85394229851,-5780.83568835821
1352,1351,0.00410866875,0.00424028381908852,30.0921336180905,-1.15433592146734,-4.92089984355779,74.6331658291457,1835.86195474372,-5780.82682468342
1353,1352,0.003736593,0.00424007873819885,21.1886744626866,-0.0686676828358209,-5.43274079552239,73.9502487562189,1835.86990516418,-5780.81799361194
1354,1353,0.003676347125,0.0042750228984403,19.2549872663317,6.63453607172362,-2.13263859053769,73,1835.87771158794,-5780.80923298492
1355,1354,0.00465227957142857,0.00434003225017128,19.229776358209,11.9363154845622,-5.18588507150746,72.3432835820896,1835.88531268657,-5780.80059038806
1356,1355,0.0049373845,0.00441251759743235,19.4322933366834,28.0757357085427,-7.8314714798995,70.1457286432161,1835.89273094472,-5780.7920960804
1357,1356,0.00477847214285714,0.00447111957262354,19.7478245174129,29.7818353134328,-7.17815864726368,68.7114427860697,1835.89985131343,-5780.78394776119
1358,1357,0.004747253,0.00450802211152825,19.7133978743719,29.1048895577889,-8.33396987151759,65.8894472361809,1835.9065878392,-5780.77625011055
1359,1358,0.00472262742857143,0.00452308506574568,19.6846659751244,27.6986635323383,-13.7256288631841,62.0199004975124,1835.91295223881,-5780.7690239403
1360,1359,0.005162701625,0.00451323660822641,19.7504517638191,28.5996812613065,-15.5780604321608,58.1658291457286,1835.91904263317,-5780.76238028141
1361,1360,0.00495668985714286,0.00448080834843517,19.6265954776119,27.3135431791045,-19.2785739751244,54.0945273631841,1835.92483450746,-5780.75635331343
1362,1361,0.004535991125,0.00443244253177984,19.5961519698492,33.3156640452261,-9.95359021768844,51.0452261306533,1835.93025132663,-5780.75092902513
1363,1362,0.00433649471428571,0.00437575544181425,19.6805908208955,36.4681593134328,3.31444731939716,45.7213930348259,1835.93520677612,-5780.74609098507
1364,1363,0.00457633928571429,0.00431817816891653,19.6096295879397,39.2096764623116,9.83743579346734,41.2914572864322,1835.93954864322,-5780.74183332663
1365,1364,0.004222591875,0.00425419949160407,19.4770358905473,37.9628959800995,6.54413838159204,35.7462686567164,1835.94312680597,-5780.73815397015
1366,1365,0.004007511375,0.00418907738548782,19.2812614422111,37.8320105276382,1.15477441848744,29.2010050251256,1835.94596728643,-5780.73511163819
1367,1366,0.004008467,0.00413545451560027,19.1106017164179,34.8041811791045,1.73676501569055,23.3582089552239,1835.94810641791,-5780.73274083582
1368,1367,0.004080749875,0.00409171896491238,19.071370718593,22.1951754057286,1.91580317638191,17.5979899497487,1835.9495840804,-5780.73105271357
1369,1368,0.00372297842857143,0.00406138578763572,25.0112292139303,-2.81204656452736,1.48715390522388,12.726368159204,1835.95071713433,-5780.72975591045
1370,1369,0.00353437585714286,0.00405208149685094,35.9782299698492,1.99708853433668,0.00020578861306532,10.9145728643216,1835.9518198191,-5780.72851543719
