"","ticker","tic","gvkey"
"420","LUMN","LUMN",2884
"421","AIZ","AIZ",157057
"422","REG","REG",29099
"423","WHR","WHR",11465
"424","BWA","BWA",28742
"425","NRG","NRG",135990
"426","CCL","CCL",13498
"427","GL","GL",10614
"428","AAL","AAL",1045
"429","JNPR","JNPR",121718
"430","BBWI","BBWI",6733
"431","TPR","TPR",140541
"432","RHI","RHI",2312
"433","NLSN","NLSN",100873
"434","ROL","ROL",9225
"435","LNC","LNC",6742
"436","SEE","SEE",9555
"437","PNW","PNW",1075
"438","RCL","RCL",28191
"439","ZION","ZION",11687
"440","AOS","AOS",9771
"441","PNR","PNR",8463
"442","XRAY","XRAY",13700
"443","DXC","DXC",3336
"444","NWL","NWL",7875
"445","BEN","BEN",4885
"446","UHS","UHS",11032
"447","FRT","FRT",4605
"448","WYNN","WYNN",149318
"449","MHK","MHK",25119
"450","IVZ","IVZ",29804
"451","PENN","PENN",30259
"452","ALK","ALK",1230
"453","DVA","DVA",61483
"454","VNO","VNO",11220
"455","RL","RL",64891
"456","PVH","PVH",8551
"457","DISH","DISH",60900
