,ticker,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
66,BKR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32106,32106,32106,32106,32106,32106,32106,32106,NA
67,BLK,NA,NA,NA,NA,NA,NA,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,124434,NA
68,BMY,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,NA
69,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176928,176928,176928,176928,176928,176928,176928,176928,176928,176928,176928,176928,176928,176928,176928,176928,176928,176928,176928
70,BRK.B,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,NA
71,BRO,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,15417,NA
72,BSX,NA,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,25279,NA
73,BWA,NA,NA,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,28742,NA
74,BXP,NA,NA,NA,NA,NA,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,64925,NA
75,C,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,3243,NA
76,CAG,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,NA
77,CAH,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751
78,CARR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36191,36191,36191,36191,36191,36191,36191,NA
79,CAT,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,2817,NA
80,CB,NA,NA,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,28034,NA
81,CBOE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184500,184500,184500,NA,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,184500,NA
82,CBRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260774,260774,260774,260774,260774,260774,260774,260774,260774,260774,260774,260774,260774,260774,260774,260774,260774,260774,260774,260774,NA
83,CCI,NA,NA,NA,NA,NA,NA,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,113490,NA
84,CCL,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,13498,NA
85,CDAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23546,23546,23546,23546,23546,23546,23546,NA
86,CDNS,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,13421,NA
87,CDW,NA,NA,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,28320,NA
88,CE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162254,162254,162254,162254,162254,162254,162254,162254,162254,162254,162254,162254,162254,162254,162254,162254,162254,162254,162254,162254,NA
89,CEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40614,NA
90,CF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163946,163946,163946,163946,163946,163946,163946,163946,163946,163946,163946,163946,163946,163946,163946,163946,163946,163946,163946,163946,163946,163946,NA
91,CFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21825,21825,21825,21825,21825,21825,21825,21825,21825,21825,NA
92,CHD,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,NA
93,CHRW,NA,NA,NA,NA,NA,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,65609,NA
94,CHTR,NA,NA,NA,NA,NA,NA,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,126136,NA
95,CI,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547,NA
96,CINF,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,14824,NA
97,CL,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,NA
98,CLX,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121,3121
99,CMA,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,3231,NA
100,CMCSA,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,3226,NA
101,CME,NA,NA,NA,NA,NA,NA,NA,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,149070,NA
102,CMG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165914,165914,165914,165914,165914,165914,165914,165914,165914,165914,165914,165914,165914,165914,165914,165914,165914,165914,165914,165914,165914,165914,NA
103,CMI,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,NA
104,CMS,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,NA
105,CNC,NA,NA,NA,NA,NA,NA,NA,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,145552,NA
106,CNP,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,5742,NA
107,COF,NA,NA,NA,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,30990,NA
